ID,P.Value,logFC,Gene.symbol
209865_at,0.0067352,1.06171695,SLC35A3
222324_at,0.0067354,-1.38852101,
220680_at,0.0067461,0.98067287,RAVER2
210229_s_at,0.0067737,1.13144379,CSF2
214333_x_at,0.0067928,-1.05961939,IDH3G
204900_x_at,0.0068344,0.74759403,SAP30
210662_at,0.006867,2.84786225,KYNU
204743_at,0.006955,-0.70157917,TAGLN3
218029_at,0.0069579,-0.71084988,FAM65A
215769_at,0.0069598,1.1599433,YME1L1
208470_s_at,0.0069915,1.56678356,HPR///HP
220508_at,0.0069938,1.45123854,CCT8L2
203047_at,0.0070221,-1.7060141,STK10
219476_at,0.0070573,0.93230213,C1orf116
202033_s_at,0.007103,-0.8168733,RB1CC1
215262_at,0.0071181,-2.34805948,
206569_at,0.0071474,0.91062666,IL24
221048_x_at,0.0071668,1.22233926,C17orf80
213506_at,0.0071994,2.04213585,F2RL1
47550_at,0.0072521,-0.76441349,LZTS1
210008_s_at,0.0072821,2.16549597,MRPS12
209070_s_at,0.0073587,-1.43076759,RGS5
220069_at,0.0074318,1.05015946,TUBA8
202879_s_at,0.0074777,-1.44196839,CYTH1
216978_x_at,0.0075585,1.76774054,
207051_at,0.007572,-1.48939767,SLC17A4
216584_at,0.0075926,1.30010108,
205538_at,0.0076042,1.57002285,CORO2A
207257_at,0.0076174,1.24252427,EPO
208397_x_at,0.0076209,1.79106171,KCNJ5
207281_x_at,0.0077056,1.23216582,VCX2
206749_at,0.0078127,1.47579872,CD1B
205870_at,0.0079021,-1.796621,BDKRB2
209763_at,0.0079188,-0.87596146,CHRDL1
219122_s_at,0.0079709,-1.04423981,THG1L
205598_at,0.0079829,1.46685167,TRAIP
219021_at,0.0080017,0.6575067,RNF121
215081_at,0.0080095,-1.88758343,KIAA1024
220772_at,0.0080427,1.38567424,BPESC1
214768_x_at,0.008047,1.3131844,IGKC
211719_x_at,0.0080626,-0.77907587,FN1
209108_at,0.0080646,0.84187958,TSPAN6
203643_at,0.0080716,1.25496931,ERF
213413_at,0.0081482,1.18014804,STON1
206690_at,0.0081514,-1.66851326,ASIC2
215618_at,0.0081788,0.88932655,RSU1
218719_s_at,0.0081854,0.81782822,GINS3
210033_s_at,0.0082214,1.02907515,SPAG6
207022_s_at,0.0082786,1.28135456,LDHC
204647_at,0.0082919,1.03048247,HOMER3
201474_s_at,0.0083126,1.47816826,ITGA3
215300_s_at,0.008313,1.09411463,FMO5
211437_at,0.0083767,1.33077446,
221329_at,0.0084084,1.30983411,OR52A1
206232_s_at,0.0084921,-1.41997221,B4GALT6
204055_s_at,0.0085157,-1.91582074,CTAGE5
206254_at,0.0085413,1.0774958,EGF
201182_s_at,0.0086392,1.05512137,CHD4
220482_s_at,0.0088058,-0.93511987,SERGEF
205907_s_at,0.0088332,1.00588905,OMD
210163_at,0.0088437,-2.53682134,CXCL11
221911_at,0.008861,-1.46911754,ETV1
220493_at,0.0088879,1.71504537,DMRT1
211008_s_at,0.0089083,1.18413727,UBE2I
220441_at,0.0090179,-1.51771086,DNAJC22
217523_at,0.0090553,1.59249132,CD44
205392_s_at,0.0091047,1.23196206,CCL15-CCL14///CCL14
207584_at,0.0091139,1.97016137,LPA
218509_at,0.0092394,-0.79681983,PLPPR2
214774_x_at,0.00924,-0.93252003,TOX3
222176_at,0.0092409,1.82369312,
215108_x_at,0.0092466,-1.28108461,TOX3
218291_at,0.0092996,-0.69072222,LAMTOR2
215159_s_at,0.0093159,1.2336783,NADK
205035_at,0.0094319,-1.97203979,CTDP1
221730_at,0.0094446,-2.60050115,COL5A2
214615_at,0.0094892,2.26214955,P2RY10
204704_s_at,0.0095157,2.61593047,ALDOB
206181_at,0.0095488,0.89604153,SLAMF1
218891_at,0.0095738,1.34981003,C10orf76
218050_at,0.00958,-0.72903815,UFM1
219170_at,0.0096298,-0.67794146,FSD1
215790_at,0.0096388,0.90251939,AJAP1
219901_at,0.009757,0.83846665,FGD6
206297_at,0.0099681,1.20125578,CTRC
216701_at,0.0099974,1.24583824,C1orf68
210128_s_at,0.0102387,1.71829633,LTB4R
221729_at,0.0102965,-2.06795215,COL5A2
215225_s_at,0.0103041,-1.45530984,GPR17
215368_at,0.0103336,1.80178395,NEB
202203_s_at,0.0103547,-2.16227944,AMFR
210339_s_at,0.0103924,1.45806503,KLK2
213806_at,0.0104318,1.33129256,PURA
216515_x_at,0.0104698,-0.9407245,MIR1244-3
204196_x_at,0.0105002,1.29695164,PKNOX1
205461_at,0.0105013,-1.65477709,RAB35
203982_s_at,0.0105827,-1.26894139,ABCD4
204138_s_at,0.0106567,1.31569018,MZF1
216767_at,0.0106631,1.99522514,
207327_at,0.0106729,1.59630571,EYA4
215842_s_at,0.0107546,1.59859902,ATP11A
221604_s_at,0.0107729,-1.97026957,PEX16
212122_at,0.0107859,0.86413765,RHOQ
203154_s_at,0.0108617,0.87295398,PAK4
211839_s_at,0.0109286,0.90205808,CSF1
214735_at,0.0109806,-0.88206517,IPCEF1
205398_s_at,0.011028,0.71855955,SMAD3
217154_s_at,0.0110616,1.73778503,EDN3
209116_x_at,0.0110825,-1.97446459,HBB
209603_at,0.0111076,1.37641806,GATA3
206802_at,0.0111159,1.09923597,PAX5
220912_at,0.0111352,-1.90253227,
221585_at,0.0112041,-1.55334212,CACNG4
211095_at,0.0112356,1.50334302,NF1
212358_at,0.011305,-0.63619037,CLIP3
221586_s_at,0.0113079,-1.51694013,E2F5
220300_at,0.0113279,1.95695219,RGS3
206163_at,0.0113429,0.90450985,MIR548F5///MAB21L1
206182_at,0.0113575,1.66790988,ZNF134
207836_s_at,0.0114295,0.85780623,RBPMS
220595_at,0.0114626,0.88404698,PDZRN4
205383_s_at,0.0114989,0.76335221,ZBTB20
215125_s_at,0.0115634,-0.89332521,UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10
214896_at,0.0115927,-1.55670885,LINC01314
217199_s_at,0.0116257,1.35465302,STAT2
203763_at,0.011664,-0.88474218,DYNC2LI1
206152_at,0.0117203,-0.98367666,AGAP2
220744_s_at,0.0117767,1.90884291,LOC101927266///IFT122
210159_s_at,0.0118375,1.52283202,TRIM31
217232_x_at,0.0119601,-1.62383059,HBB
207804_s_at,0.0119634,2.15800347,FCN2
202188_at,0.0119749,-1.516185,NUP93
210495_x_at,0.0119908,-0.79457685,FN1
215674_at,0.0120228,2.14953477,
