ID,P.Value,logFC,Gene.symbol
220303_at,0.0107917,1.3485596,PDZD3
207552_at,0.0108287,-1.2193818,ATP5G2
208352_x_at,0.0108532,-1.333935,ANK1
210928_at,0.0109143,1.7957521,
207349_s_at,0.0110641,-1.5070737,UCP3
208140_s_at,0.0110787,1.1800631,DRC3
200799_at,0.0112383,-1.2720015,HSPA1B///HSPA1A
207617_at,0.0113711,1.8918606,DDX3X
201283_s_at,0.0114827,-1.3109922,TRAK1
202655_at,0.0116417,-0.8525432,MANF
210180_s_at,0.011652,-1.3402402,TRA2B
201171_at,0.0116534,-1.7454068,ATP6V0E1
201834_at,0.0117835,0.862783,PRKAB1
221664_s_at,0.0117836,-1.2404706,F11R
214826_at,0.0118357,1.5838534,PDE12
206057_x_at,0.0120187,-1.5207534,SPN
214648_at,0.0121333,1.2528925,GPX5
222314_x_at,0.0122344,0.9928625,EGOT
210007_s_at,0.0122367,-1.1285546,GPD2
215342_s_at,0.0124774,1.8263254,RABGAP1L
221441_at,0.0125042,2.5025869,GSC2
211016_x_at,0.0125065,-0.8483359,HSPA4
218566_s_at,0.012615,-0.9449211,CHORDC1
220393_at,0.0126886,-2.6368987,LGSN
215530_at,0.0126984,-1.2872781,FANCA
211584_s_at,0.0127126,1.2397363,NPAT
211496_s_at,0.0127982,-1.1481682,PDC
214045_at,0.0129671,0.9297397,LIAS
219769_at,0.0130781,1.6856576,INCENP
216681_at,0.0131201,1.5534203,
220928_s_at,0.0132245,-1.3542207,PRDM16
219856_at,0.0134013,0.8196481,C1orf116
210370_s_at,0.0134102,-1.3720064,LY9
214776_x_at,0.0134341,-1.663214,XYLB
206565_x_at,0.0135434,1.1025906,SMA4
209646_x_at,0.0137754,-1.519688,ALDH1B1
217965_s_at,0.0138641,0.5905039,SAP30BP
220039_s_at,0.0138994,1.4120742,CDKAL1
213441_x_at,0.0140056,-0.7902268,SPDEF
204342_at,0.0141349,0.8078241,SLC25A24
205086_s_at,0.0141429,1.2037119,NCAPH2
215259_s_at,0.0142649,1.7947663,CADM4
213998_s_at,0.0142692,1.3847805,DDX17
217857_s_at,0.0143947,1.4021395,RBM8A
211550_at,0.0145489,1.084898,EGFR
210045_at,0.014724,1.1592452,IDH2
219408_at,0.0147739,1.8994697,PRMT7
220469_at,0.0148147,-1.8148047,COPE
218743_at,0.0148319,1.0844868,CHMP6
214417_s_at,0.014952,0.7938852,FETUB
206664_at,0.0150287,2.0440543,SI
204599_s_at,0.0151617,0.7803311,MRPL28
203293_s_at,0.0152078,0.9302937,LMAN1
215251_at,0.0152315,1.4110445,
213730_x_at,0.0152516,-0.9454147,TCF3
214840_at,0.0152784,0.9646547,TOM1L2
219654_at,0.0152822,-0.6458218,HACD1
211510_s_at,0.0152894,-1.4974979,CRHR2
218275_at,0.0153179,1.3237781,SLC25A10
214970_s_at,0.0153523,1.7378237,ST6GAL1
209414_at,0.0154532,0.8290709,FZR1
203904_x_at,0.0154987,1.0182539,CD82
206136_at,0.0156602,0.7872057,FZD5
220004_at,0.0158244,1.9986363,DDX43
220870_at,0.0158351,1.6571205,
205010_at,0.0158732,0.8863352,GNL3L
219814_at,0.0160257,-1.9228501,MBNL3
217670_at,0.0160376,-1.0483492,RPLP2
211027_s_at,0.0160406,1.4813948,IKBKB
220744_s_at,0.0160514,1.8209362,LOC101927266///IFT122
215175_at,0.0162048,0.6221524,PCNX1
220908_at,0.0162098,0.9657663,CCDC33
214674_at,0.0163783,0.744218,USP19
220561_at,0.0165028,1.3684602,IGF2-AS
203819_s_at,0.0165273,1.1858413,IGF2BP3
201993_x_at,0.0165646,0.6644492,HNRNPDL
207704_s_at,0.0166315,0.8126024,GAS7
219460_s_at,0.0166354,1.2732644,TMEM127
202680_at,0.0166628,-0.7737694,GTF2E2
202817_s_at,0.0167233,0.7792646,SS18
221962_s_at,0.0167452,-0.7709643,UBE2H
206768_at,0.0167534,1.5430043,RPL3L
201841_s_at,0.0168021,-1.4888356,HSPB1
216728_at,0.0168041,1.1347371,
211998_at,0.0168595,0.6611512,MIR4738///H3F3B///H3F3A
205419_at,0.016925,0.855318,GPR183
216985_s_at,0.0171673,-1.7650742,STX3
216280_s_at,0.0172703,-1.71779,DICER1
220687_at,0.017276,2.1028276,LOC101927550
202828_s_at,0.0173091,1.1465626,MMP14
217350_at,0.017337,0.9641169,MIR492///KRT19P2
219965_s_at,0.0173904,1.2341523,MAGIX
209756_s_at,0.0174112,1.3348847,MYCN
205484_at,0.0174809,1.0874493,SIT1
206646_at,0.0176214,1.1711896,GLI1
212712_at,0.0176915,0.602677,CAMSAP1
203094_at,0.017799,0.7488911,MAD2L1BP
214806_at,0.0178185,1.5685981,BICD1
218779_x_at,0.0178322,-0.901052,EPS8L1
215340_at,0.0180372,0.9702925,ADCY1
206882_at,0.0181779,1.3448699,SLC1A6
215368_at,0.0181811,1.6758699,NEB
216715_at,0.0182014,1.3030357,
204931_at,0.0182065,-1.7608838,TCF21
202590_s_at,0.018308,0.6422579,PDK2
222057_at,0.018343,-0.9598728,NOL12
202728_s_at,0.018344,-1.1911186,LTBP1
217323_at,0.0183654,1.31065,HLA-DRB6
219399_at,0.0183857,0.5646823,LIN7C
203754_s_at,0.0184024,1.0056841,BRF1
211820_x_at,0.0184319,-1.13616,GYPA
210874_s_at,0.0184576,1.1216608,NAT6
205835_s_at,0.0186736,-0.9771413,YTHDC2
214575_s_at,0.0187119,-0.9955769,AZU1
210220_at,0.018722,-1.5404457,FZD2
203322_at,0.0188788,0.7655483,ADNP2
206706_at,0.0188826,-1.3847637,NTF3
203272_s_at,0.0189657,-1.0965007,TUSC2
211599_x_at,0.0191038,0.6890892,MET
215072_x_at,0.0192348,1.6379989,EDRF1
209531_at,0.0192842,1.2293742,GSTZ1
219905_at,0.0195323,1.8805284,ERMAP
215889_at,0.0195636,-1.5571476,SKIL
216805_at,0.0196146,-1.2388063,
210940_s_at,0.0198939,1.405184,GRM1
210076_x_at,0.0200128,-0.677199,SERBP1
201246_s_at,0.0200899,0.9009706,LOC101927673///OTUB1
205885_s_at,0.020093,2.1380519,ITGA4
208740_at,0.0200951,0.7516025,SAP18
219214_s_at,0.0201345,0.8033254,NT5C
207965_at,0.0201422,1.4514836,NEUROG3
217690_at,0.0201557,0.8929929,ENOSF1
212944_at,0.0201767,-1.0468952,SLC5A3
211709_s_at,0.0202773,-0.9807726,CLEC11A
219042_at,0.0202871,-0.5987087,LZTS1
219251_s_at,0.0204842,1.4751085,WDR60
204621_s_at,0.0205138,-0.9077076,NR4A2
211556_at,0.0205705,1.7137746,MAPRE2
209021_x_at,0.020881,1.0327535,ATG13
216076_at,0.0208985,1.0214948,L3MBTL1
206228_at,0.0208991,-0.9794824,PAX2
214904_at,0.021005,-1.271653,ZNF41
205559_s_at,0.0211175,-0.972378,PCSK5
204585_s_at,0.0213351,0.9663587,L1CAM
220812_s_at,0.0213622,2.0519361,HHLA2
213853_at,0.0214851,-0.7620315,DNAJC24
209474_s_at,0.02149,0.8898137,ENTPD1
219640_at,0.0216204,-1.3395523,CLDN15
215599_at,0.0216713,1.2791295,GUSBP9///GUSBP3
205164_at,0.0216753,-1.0049263,GCAT
219264_s_at,0.0216878,-1.4199889,PPP2R3B
210765_at,0.0217778,1.286834,CSE1L
220040_x_at,0.0219194,-0.8199682,ZC4H2
205035_at,0.0219244,-0.945509,CTDP1
216878_x_at,0.0220082,1.0484294,HAB1
206379_at,0.0220931,1.0127457,EYA3
204431_at,0.022292,-0.9063447,TLE2
210975_x_at,0.0224337,1.0752718,FASTK
206764_x_at,0.0225276,1.1367663,MPPE1
220868_s_at,0.0226215,1.1401661,SLC7A10
209660_at,0.022677,-2.2333162,TTR
208531_at,0.0227621,0.7657706,SERPINA2
215580_at,0.0228088,-1.1242427,MCM3AP
207924_x_at,0.0229726,1.3518081,PAX8
208762_at,0.0232227,0.7916566,SUMO1
210184_at,0.0232896,1.5098836,ITGAX
210135_s_at,0.0233403,1.9925139,SHOX2
213136_at,0.0234346,-0.776317,PTPN2
