ID,P.Value,logFC,Gene.symbol
203293_s_at,0.0066865,0.7585398,LMAN1
203322_at,0.0067139,0.7078185,ADNP2
210888_s_at,0.0067476,-1.0109354,ITIH1
219919_s_at,0.0068101,1.7366599,SSH3
202478_at,0.0070164,0.7591157,TRIB2
203748_x_at,0.0071471,-0.8131338,RBMS1
205901_at,0.0072682,-1.9692736,PNOC
211267_at,0.0073329,-1.7132274,HESX1
209178_at,0.007385,1.2778165,DHX38
206917_at,0.0074275,-1.6043695,GNA13
211903_s_at,0.0074348,1.3250067,MPL
221674_s_at,0.0076092,-1.0425521,CHRD
205422_s_at,0.0077365,1.3213003,ITGBL1
221258_s_at,0.0077833,-1.8680307,KIF18A
219793_at,0.0078756,0.8832436,SNX16
204083_s_at,0.0079121,-1.0999515,TPM2
201048_x_at,0.007921,-1.0821008,WTH3DI///RAB6A
219884_at,0.0079218,-0.660419,LHX6
219856_at,0.0080207,1.0252798,C1orf116
211112_at,0.0080372,1.840939,SLC12A4
221437_s_at,0.0080476,-1.1928701,MRPS15
203643_at,0.0080745,1.4133387,ERF
220045_at,0.0081523,-0.9404942,NEUROD6
206886_x_at,0.0082394,-1.6531012,GH1
202482_x_at,0.0082881,-0.9975194,RANBP1
210689_at,0.008347,-1.1892019,CLDN14
207697_x_at,0.0084089,-1.0511811,LILRB2
205730_s_at,0.0084472,0.9209704,ABLIM3
202262_x_at,0.0085514,1.0257892,DDAH2
211544_s_at,0.0085556,-1.1391256,GHRHR
221159_at,0.0086486,-0.7260652,
206356_s_at,0.008666,-1.6490916,GNAL
212445_s_at,0.0086817,-0.7105377,NEDD4L
206287_s_at,0.0087422,0.6888336,ITIH4
214583_at,0.0088272,-0.9027707,DDI2///RSC1A1
212501_at,0.0088431,-0.7482475,CEBPB
219769_at,0.008975,1.8892632,INCENP
205051_s_at,0.0090699,-0.9362442,KIT
215634_at,0.0092093,-0.9232073,
214371_at,0.0092142,-1.8628428,TSSK2
212084_at,0.0093226,-1.5184393,TEX261
214062_x_at,0.0094121,1.3128026,NFKBIB
205692_s_at,0.0094769,1.8163438,CD38
213999_at,0.0094952,-1.1340433,YIPF4
219251_s_at,0.0095196,1.8682502,WDR60
206558_at,0.0095646,0.9164015,SIM2
212131_at,0.0095759,0.7025411,LSM14A
220831_at,0.0095898,-1.6001062,GCNT4
221151_at,0.0096931,1.0792574,PRDM9
203516_at,0.0097445,0.730464,SNTA1
210286_s_at,0.0099991,2.5862757,SLC4A7
219525_at,0.0100707,2.6677843,SLC47A1
218612_s_at,0.0102411,1.4773765,TSSC4
216758_at,0.0102614,-1.7894264,
202655_at,0.0102752,-0.668198,MANF
205614_x_at,0.0102899,-1.3339479,MST1
217529_at,0.0103484,0.938971,ORAI2
216864_at,0.010406,-1.3749911,
211431_s_at,0.0104295,0.829912,TYRO3
207838_x_at,0.0105178,2.0284654,PBXIP1
217203_at,0.0106083,1.6828635,
212428_at,0.0106211,-0.9845989,KIAA0368
204330_s_at,0.0106212,1.5785877,MRPS12
220886_at,0.0107879,0.9848373,GABRQ
220078_at,0.0108306,0.9737102,USP48
202971_s_at,0.0108411,-1.0300246,DYRK2
214470_at,0.0108419,1.7599134,KLRB1
209628_at,0.0108812,0.7795996,NXT2
206497_at,0.0109291,-1.9233022,COA1
213899_at,0.0109593,0.8474221,METAP2
205501_at,0.0109594,-0.8748354,PDE10A
217662_x_at,0.0109826,2.2738076,
217018_at,0.0109907,-1.9913127,PDSS2
214120_at,0.0110044,-0.8923628,RFPL1S
203177_x_at,0.0110087,0.582687,TFAM
210962_s_at,0.0110634,0.7041882,AKAP9
214554_at,0.0111016,-0.962977,HIST1H2AL
204714_s_at,0.0111326,2.2235632,F5
215767_at,0.0111769,-0.8125972,ZNF804A
217170_at,0.011359,-0.8170651,
213569_at,0.011471,1.682722,LOC100506603
206003_at,0.0115927,0.7243631,CEP135
216503_s_at,0.0117393,-1.709676,MLLT10
205350_at,0.0117703,-1.2512503,CRABP1
222347_at,0.0118147,1.8081825,
214356_s_at,0.0118939,-1.031628,KIAA0368
209865_at,0.0119179,0.8419017,SLC35A3
215732_s_at,0.0119253,1.1275528,LOC102725292///DTX2
212379_at,0.0119628,-1.2467981,GART
210127_at,0.0120141,-0.619113,RAB6B
215348_at,0.0121241,0.9153538,ADCY1
210469_at,0.012128,1.1317004,DLG5
216072_at,0.0121712,-1.4240543,PRMT2
206548_at,0.012219,1.2585012,
202885_s_at,0.0122665,-1.4215942,PPP2R1B
205875_s_at,0.0122879,1.6049271,ATRIP///TREX1
211834_s_at,0.0123248,-1.511491,TP63
216828_at,0.0124615,1.6141364,LOC100505874///MLLT10P1
213921_at,0.0124626,-1.328379,SST
206976_s_at,0.0124883,-1.1040539,HSPH1
220998_s_at,0.012513,0.8344244,UNC93B1
213058_at,0.0125314,0.5379517,TTC28
218180_s_at,0.0127682,0.6853316,EPS8L2
204699_s_at,0.0127818,-0.7921393,DIEXF
200913_at,0.0128004,0.5935965,PPM1G
217639_at,0.0128763,-0.9943944,
205086_s_at,0.0128887,1.0723327,NCAPH2
212046_x_at,0.0129178,0.6181931,MAPK3
41660_at,0.0129325,-1.3569021,CELSR1
207172_s_at,0.0129464,-0.7273285,CDH11
204428_s_at,0.0129971,1.4678686,LCAT
221770_at,0.0130465,-1.2172801,RPE
216623_x_at,0.0131251,-0.6799042,TOX3
207257_at,0.0131331,2.3738866,EPO
203847_s_at,0.0133581,-0.5137706,AKAP8
203359_s_at,0.0133854,-0.8381125,GJA9-MYCBP///MYCBP
214227_at,0.013467,-1.7150712,
215108_x_at,0.0136221,-0.8852199,TOX3
220060_s_at,0.0136678,-2.1403341,PARPBP
216078_at,0.0136687,1.4824392,
217367_s_at,0.0136787,0.5933038,ZHX3
214904_at,0.0137516,-0.9612163,ZNF41
214492_at,0.0137609,-1.2548052,SGCD
215710_at,0.0138711,-1.3969286,ST3GAL4
206685_at,0.0139265,1.8096059,HCG4
219705_at,0.0139426,-0.7783471,QSER1
205999_x_at,0.0139942,1.1513076,CYP3A4
210333_at,0.0140332,1.546936,NR5A1
220687_at,0.0140424,1.9853509,LOC101927550
216794_at,0.014097,-1.1821333,LOC100289518
215410_at,0.0141338,1.8313773,PMS2P9///PMS2P6///LOC441259///PMS2P5///PMS2P4///PMS2P1
203461_at,0.0141422,0.6697421,CHD2
218349_s_at,0.0141488,1.0946087,ZWILCH
216583_x_at,0.0141927,-1.2908054,
216805_at,0.0142267,-1.6956398,
204768_s_at,0.0143463,0.5982675,FEN1
212427_at,0.0144442,-0.9284404,KIAA0368
204879_at,0.0145194,-0.9269603,PDPN
203225_s_at,0.0145324,-0.8765999,RFK
211556_at,0.014564,1.561871,MAPRE2
221650_s_at,0.0145795,0.5816984,LOC100996782///MED18
219478_at,0.0146228,-0.6808603,WFDC1
217853_at,0.0147408,0.742046,TNS3
220059_at,0.0147611,-1.629172,STAP1
214069_at,0.0147778,-1.7044984,ACSM2B///ACSM2A
211936_at,0.014828,-0.7900416,HSPA5
207784_at,0.0149188,-1.1569242,ARSD
206507_at,0.0149306,0.5914769,ZSCAN12
