ID,P.Value,logFC,Gene.symbol
236676_at,0.0024187,2.3102275,
234160_at,0.0024208,2.3466307,
240499_at,0.002491,2.2026379,
1559064_at,0.0025459,1.7418448,NUP153
208806_at,0.0025727,2.0226957,CHD3
230055_at,0.0025994,-2.5984835,KHDC1
231322_at,0.0026468,1.8466284,
219072_at,0.0026519,2.3709382,BCL7C
227959_at,0.0026727,-1.7221115,ANKRD9
1562029_at,0.0027053,-2.7069313,LOC101927495
243083_at,0.0027779,-2.0809757,LOC100287834///LOC100287704
234527_at,0.0027884,-1.9112791,NCAM2
1566294_at,0.0027974,-3.0788074,
1562520_at,0.0028033,-2.6038689,LOC101929473
211514_at,0.0028172,2.4973264,DSTYK
227792_at,0.0028593,3.2409755,ITPRIPL2
219227_at,0.0029344,1.9019608,CCNJL
220098_at,0.0029538,2.6583625,LOC101930373///HYDIN2///HYDIN
233180_at,0.0029737,3.0374123,
230074_s_at,0.0030205,-2.7664169,C16orf58
204122_at,0.0030331,2.0435942,TYROBP
201137_s_at,0.0030583,1.960676,HLA-DPB1
233353_at,0.0030666,-2.3952121,FER1L5
220141_at,0.0030715,1.7686706,C11orf63
234390_x_at,0.0030768,2.0584295,
201130_s_at,0.0031017,2.8286911,CDH1
1555205_at,0.0031468,-2.4927623,
240304_s_at,0.0031532,-3.4217816,TMC5
221283_at,0.0031618,2.3988481,RUNX2
231587_at,0.0031694,1.6964902,APOC3
207192_at,0.0031971,-1.7166293,DNASE1L2
220001_at,0.0032155,-2.8808054,PADI4
1563149_at,0.0032322,-2.2697448,
1555374_at,0.0032505,2.4601629,TTL
213756_s_at,0.0032582,2.7372329,HSF1
207092_at,0.0032733,2.7679826,LEP
208076_at,0.0032849,-2.5443035,HIST1H4D
1564072_at,0.0032939,-2.898049,MYH16
238488_at,0.0032991,2.3791198,LRRC70///IPO11
233522_at,0.0033015,2.9658259,MEF2C-AS1
229349_at,0.0033113,-3.0009173,LIN28B
205615_at,0.0033375,1.6807153,CPA1
1563398_at,0.0033552,-2.3817106,
1561581_at,0.0033631,-2.2602946,
1562543_at,0.003415,-3.2793957,LOC101927660
1558750_a_at,0.0034232,2.0368465,LOC100288637///ARHGAP11B
202605_at,0.0034479,2.8268926,GUSB
238567_at,0.0034504,3.110242,SGPP2
208333_at,0.0034517,-3.0954317,LHX5
1553417_at,0.0034693,-2.9865717,C11orf44
213277_at,0.00349,2.4437637,ZFP36L1
224526_at,0.0034976,-2.0916717,LOC100132319
232982_at,0.0035048,2.3469697,
220110_s_at,0.0035456,-2.5177758,NXF3
218006_s_at,0.0035682,1.5925001,ZNF22
212097_at,0.0035753,2.2089597,CAV1
1565848_at,0.003598,1.9066537,ZNF428
230319_at,0.0036031,2.7098159,
230060_at,0.0036232,2.8556183,CDCA7
1567010_at,0.0036417,-2.9695978,
211142_x_at,0.0036648,-1.8037745,HLA-DOA
223988_x_at,0.0036844,2.1998956,METTL17
229522_at,0.0036878,-2.8206331,SDR42E1
239887_at,0.0037159,1.7525654,LOC101928554
1554668_a_at,0.0037349,-1.5610405,FAM151A
221239_s_at,0.0037469,-2.3867249,FCRL2
1566363_at,0.0037475,-2.3538098,DNTT
217066_s_at,0.0037638,-2.2703741,DMPK
1552334_at,0.003791,2.7542819,TRIOBP
1569039_s_at,0.0038192,2.8614625,ZNF677
205146_x_at,0.0038521,-1.728766,APBA3
1561196_at,0.0038781,3.3774556,
215756_at,0.0039008,-2.1130157,LINC01136
1552411_at,0.0039567,-2.7455787,DEFB106B///DEFB106A
1561181_at,0.0039679,2.2755452,
238312_s_at,0.0039837,-2.3169422,B4GALT3
214255_at,0.0039847,2.0615988,ATP10A
216200_at,0.003993,2.5774444,PLEKHM1
218709_s_at,0.0040596,2.252952,IFT52
228903_at,0.0040855,2.7909419,CES4A
1554615_at,0.0041038,2.4561491,
244836_at,0.0041519,2.3974095,
207424_at,0.0041655,-2.5521732,MYF5
224202_at,0.0042018,2.203051,SUFU
216974_at,0.0042406,-2.9611742,KITLG
1569614_s_at,0.0042586,-2.1302216,LCN8
203633_at,0.0042788,2.9446578,CPT1A
234600_at,0.0042924,-1.7969207,
1560615_a_at,0.0042973,1.9705429,
241969_at,0.004298,2.7160546,ARID5B
206482_at,0.0043011,-2.7775601,PTK6
241823_at,0.004304,2.5902903,
224341_x_at,0.0043277,2.2629161,TLR4
1563112_at,0.0043544,-3.3409582,
216165_at,0.0043655,-2.3905119,GARNL3
1560754_at,0.0043767,-2.3925137,CMTM7
209950_s_at,0.0044168,-2.0785282,VILL
234945_at,0.004436,-2.3794078,MTFR2
215983_s_at,0.0044429,-1.9284813,UBXN8
1555815_a_at,0.0044709,2.3887011,L3MBTL2
225212_at,0.0044911,-2.0669472,SLC25A25
1562623_at,0.0045062,-2.6943375,LOC146513
1558670_at,0.0045289,-1.8849385,
227902_at,0.0045613,1.6396475,ZFP41
241693_at,0.0045836,-2.4799365,
1554010_at,0.0046112,3.3927853,NDST1
234404_at,0.0046168,-2.7985821,CAND2
220393_at,0.0046193,-3.4638603,LGSN
201555_at,0.004634,1.7379437,MCM3
238375_at,0.004637,-2.8980152,
220686_s_at,0.0046481,-1.5589034,PIWIL2
234477_at,0.0046554,1.7316255,IGHV4-31///IGHA1
207752_x_at,0.0047316,2.3418789,PRB1
217346_at,0.0047455,-1.7205635,
213787_s_at,0.004751,-2.4006797,EBP
221944_at,0.0047637,2.6436618,FLJ42627
1561102_at,0.004788,-2.1069904,LOC101929488
1554175_at,0.004852,-2.2271654,CD300LB
231749_at,0.0048657,-2.6328867,TIMM13
203766_s_at,0.0048732,1.6127471,LMOD1
241862_x_at,0.0049132,-1.7519769,C19orf45
239808_at,0.0049221,2.4162714,
1556669_a_at,0.0049428,-3.3762283,
212075_s_at,0.0049612,2.2496277,CSNK2A1
1569740_at,0.0049732,-2.5385087,LOC105374928
215191_at,0.0050088,2.1601671,
238504_at,0.0050116,-2.1166855,SDHAF4
237902_at,0.0050211,-2.2935201,
1552872_at,0.005023,1.8575403,ASMTL-AS1
234563_at,0.0050734,2.2174933,
205972_at,0.005094,2.5102024,SLC38A3
243521_at,0.0051115,-1.8358066,ZXDA
211782_at,0.0051406,-2.3793842,IDS
216671_x_at,0.0051549,-1.988185,MUC8
222377_at,0.0051743,-2.6438475,TBX10
235839_at,0.0052407,-1.9511722,C22orf34
243297_at,0.0052423,1.8623028,
244476_at,0.0052483,2.0415367,
224542_s_at,0.0052608,1.5645951,NFATC2
229264_at,0.0052642,2.0447794,
211889_x_at,0.0052705,-2.3233778,CEACAM1
204487_s_at,0.0053009,2.63004,KCNQ1
241048_at,0.0053531,-1.8126277,
211531_x_at,0.0053643,2.562322,PRB1
228004_at,0.0053727,-2.584788,LINC00261
207892_at,0.0053839,1.8899813,CD40LG
202662_s_at,0.005386,2.1202185,ITPR2
211245_x_at,0.0053976,-2.3295652,KIR2DL4
1566966_at,0.0054435,3.177974,
222174_at,0.005454,-2.3276386,
1558470_at,0.0054779,-2.7342223,VWA3B
240332_at,0.0055302,2.6022528,
243334_at,0.0055516,2.0017135,CACNA1D
211608_at,0.0055538,1.5838264,
1552998_at,0.0055682,1.8328577,DEFB125
1554131_at,0.005594,-2.8578471,CCSER2
1563477_at,0.0056373,-2.2321392,
234426_x_at,0.0056465,-1.6442496,PIH2
1562731_s_at,0.0056478,-2.8131965,MDS2
222461_s_at,0.005655,2.3027273,LOC101929047///HERC2
1558186_s_at,0.0056998,-2.5371196,LOC100507616///CLLU1
1564238_a_at,0.005703,2.2724363,WDR49
218710_at,0.0057102,2.1283145,TTC27
208426_x_at,0.0057215,-2.6509675,KIR2DL4
238310_at,0.0057319,2.2835432,
1562898_at,0.0057391,2.3513813,
1558803_at,0.0058094,2.3675579,LOC105371401
239509_at,0.0058101,2.1563748,FLJ16779
1561872_at,0.0058313,2.0331962,
1554712_a_at,0.0058572,-2.26242,GLYATL2
204109_s_at,0.0058737,2.5455745,NFYA
222313_at,0.0058835,1.5249545,
231618_s_at,0.0059019,-2.3064251,SUN3
1563466_at,0.005933,2.3966862,MYLK
234579_at,0.0059356,-2.4802065,
236753_at,0.0059536,1.7670338,LINC00689
228373_at,0.0059673,1.9158524,C16orf72
214509_at,0.0059699,-2.836358,HIST1H3I
240072_at,0.0059826,2.3266527,ASXL2
212588_at,0.0060216,3.0317285,PTPRC
203210_s_at,0.0060728,1.8852634,RFC5
1569956_at,0.006076,-1.8482455,MYLK
1564155_x_at,0.006084,-1.9642885,
240982_at,0.006097,2.4147573,CARS
212065_s_at,0.0061292,2.0867624,USP34
234215_at,0.0061385,2.2030402,
240564_x_at,0.006156,2.4017074,
1562083_at,0.0061619,-2.5801116,
214486_x_at,0.0061827,1.5753698,CFLAR
203913_s_at,0.0062156,1.9505609,HPGD
237098_at,0.006217,2.253278,C1orf21
1556454_a_at,0.0062383,-1.7197535,LOC100506274
222227_at,0.0062558,-3.6721092,
230667_at,0.0063048,2.6322989,FAM204A
1569306_at,0.0063142,2.5468757,LOC105371622
231231_at,0.0063288,-1.8607691,
1563160_at,0.0063671,2.2236514,F11
202338_at,0.0063761,-2.5641297,TK1
226368_at,0.0064296,2.1583601,CHST11
229157_at,0.0064971,-1.316051,PRKAG2-AS1
244022_at,0.0065229,2.5154704,
1558855_at,0.0065457,2.2605741,FARP2
238885_at,0.0066119,-1.8910935,KIAA1549
1555027_at,0.0066186,1.9230802,LOC101927705///P4HA2
232245_at,0.0066779,-2.0271302,SLC25A34
227362_at,0.0067951,2.1223011,SLC2A4RG
1554927_at,0.0068615,-1.9945799,LINC00598
1562856_at,0.0068723,-2.2854303,
205380_at,0.0068812,2.2263861,PDZK1
230969_at,0.0069369,-2.408914,TEX38
230711_at,0.0069377,2.4650535,
209368_at,0.0069398,2.2785812,EPHX2
233579_at,0.0069737,3.0298895,
215516_at,0.0069798,-2.2785745,LAMB4
231291_at,0.0069993,-2.1350356,GIPR
215924_at,0.0070339,2.5353301,
216223_at,0.007044,-2.310187,CPN2
243604_at,0.0070455,-2.1792207,
215870_s_at,0.0070987,2.8609349,PLA2G5
217258_x_at,0.0071317,2.2247681,IGLV1-44
235574_at,0.0071481,-2.7309813,GBP4
1569251_a_at,0.0071728,2.5274644,ZNF333
1557664_at,0.0071858,-2.7696629,LOC101929114
207262_at,0.0072536,-1.9718259,APOF
1561536_at,0.0073093,-1.9325856,LOC283435
206909_at,0.0073169,2.3150847,
213844_at,0.0073175,-1.9149731,HOXA5
1558827_a_at,0.0073544,-2.4152998,ZNF831
226729_at,0.0073583,1.8304764,USP37
1566726_at,0.0073695,-1.897817,
202989_at,0.0074105,-2.9238658,RGS1
243045_at,0.007452,-2.6843533,SMYD1
1561474_at,0.0074788,-2.5475877,LOC101929312
206207_at,0.0075086,-1.997379,CLC
221406_s_at,0.0075141,-2.2793097,MSH5-SAPCD1///SAPCD1
1557518_a_at,0.0075378,2.2903504,
1560870_a_at,0.0075486,-2.3374051,
