ID,P.Value,logFC,Gene.symbol
1554151_at,0.00186559,-2.83571218,OGDH
241355_at,0.00189283,2.62894861,HR
229157_at,0.00190406,-1.53263057,PRKAG2-AS1
237924_at,0.00191531,-2.6130686,
239191_at,0.0019255,-2.28208925,
232786_at,0.00198675,-3.47913784,COG6
209375_at,0.00199667,-1.89638171,XPC
1559298_a_at,0.00199785,2.7823833,SPATA41
1568601_at,0.00200093,-1.97236688,GAD2
243372_at,0.00203533,2.69136401,HSPD1
1561225_at,0.00204297,-2.97351908,ANKRD30BP3
1555659_a_at,0.00206589,1.87526235,TREML1
243000_at,0.00208504,2.22811766,CDK6
244440_at,0.00209724,1.91699214,
1557515_at,0.00214131,-3.00257266,
210141_s_at,0.00214407,-1.80527293,INHA
239892_at,0.00216169,2.61117108,
233524_at,0.00217013,-2.66616195,LINC00475
217600_at,0.00217828,2.10691643,SCUBE3
1568784_at,0.0021983,3.00122099,LOC102725116
229792_at,0.0022218,3.32326125,KLHL17
238488_at,0.00224227,2.1831117,LRRC70///IPO11
205840_x_at,0.0022483,-2.91814625,GH1
205617_at,0.00225372,-2.48884715,PRRG2
220869_at,0.0022605,1.77661494,UBA6
237796_at,0.00226803,-2.48350688,
236364_at,0.00227472,-2.62814324,
236336_at,0.00231309,-2.10119089,BOLA3-AS1
217423_at,0.00231451,-2.29565163,
1569874_s_at,0.00232507,2.3408887,LIPJ
1555229_a_at,0.0023278,2.51381477,C1S
224742_at,0.00237268,-2.34846721,ABHD12
1566135_at,0.00237825,-2.09986818,CARHSP1
208483_x_at,0.0023948,-2.52169374,KRT33A
237670_at,0.0024067,-3.1769907,MIR663AHG
210827_s_at,0.00245066,3.01925217,ELF3
231123_at,0.00245565,-2.52383261,TRIM36
241458_at,0.00247866,2.76202704,
211238_at,0.00248564,-2.38845875,ADAM7
213022_s_at,0.00248672,2.12102366,UTRN
220384_at,0.00251584,-1.98773863,NME8
228893_at,0.00253427,-2.8851134,
1559064_at,0.00254375,2.12194098,NUP153
1566427_at,0.00258323,-2.3872687,LOC102725420///LOC102724888
231517_at,0.00260047,-2.23619677,ZYG11A
231291_at,0.00261397,-2.74878998,GIPR
1553986_at,0.0026175,2.21904821,RASEF
1567081_x_at,0.00264542,-2.48618494,CLN6
206876_at,0.00264574,-1.84267031,SIM1
213401_s_at,0.00264674,3.00992805,TBL1X
242453_at,0.00269468,-2.98284776,
241671_x_at,0.00271503,-2.1712093,CASC15
233951_at,0.00271815,-2.89178743,
217482_at,0.00276521,1.85591564,
224106_at,0.00277769,-2.99712208,NTMT1
211380_s_at,0.00280278,2.29451221,PRKG1
