ID,P.Value,logFC,Gene.symbol
201002_s_at,0.00166078,-1.88646268,TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1
204789_at,0.00167491,2.80105968,FMNL1
214208_at,0.00172905,-2.21650877,KLHL35
235724_at,0.00174809,2.05576962,ACSS1
1552417_a_at,0.00175633,2.92409357,NEDD1
1563224_at,0.00175834,2.12403878,
202711_at,0.00175901,1.94987231,EFNB1
211923_s_at,0.0017606,2.56855655,ZNF471
205515_at,0.00177303,3.07117273,PRSS12
226547_at,0.00178163,2.79232439,KAT6A
222261_at,0.0017972,2.57074926,TLDC1
229537_at,0.00180526,-2.73206883,LMO4
1564198_a_at,0.00184139,3.35340951,C10orf90
228725_x_at,0.0018417,-1.88113125,PRMT2
220244_at,0.00189669,-2.48767304,LINC00312
210886_x_at,0.00193314,2.61296356,TP53TG1
244117_at,0.00196125,-2.52993893,
1561348_at,0.00197527,1.86566835,LOC339874
217056_at,0.00199552,3.16304571,YME1L1
235544_x_at,0.00199738,2.59194848,FAM171A2
235632_at,0.00202178,2.31920159,
237619_at,0.00202578,-3.1668297,FAM217A
236845_at,0.00203337,2.80687779,TRIM62
1563559_at,0.00203661,-2.7715495,FMN1
238885_at,0.00204655,-2.10652209,KIAA1549
207034_s_at,0.00206932,-2.5227778,GLI2
210626_at,0.00208813,2.67193303,AKAP1
214740_at,0.00208885,2.89363372,UPK3BL///POLR2J3///POLR2J2///POLR2J
241871_at,0.0020952,-1.70542172,CAMK4
223563_at,0.00210171,2.60047482,GNB1L
240498_at,0.00211652,-2.42241441,
231751_at,0.00212242,2.75039896,ABCG8
216845_x_at,0.00213036,2.01418407,KMT2D
224542_s_at,0.00216206,2.22423334,NFATC2
232265_at,0.00216736,2.17100106,ATXN7L1
1564242_at,0.00217834,2.5327938,TRPM2-AS
216228_s_at,0.00218717,-2.23492464,WDHD1
1556649_at,0.00220364,2.20808094,
241584_at,0.00222541,-3.06482551,
1558587_at,0.00222704,-2.9644679,LOC100996385
235877_at,0.00223004,-2.33578598,
234945_at,0.00223102,-2.87974582,MTFR2
218027_at,0.00223648,-3.25586924,MRPL15
239828_at,0.00225495,2.37485656,AK9
1570415_at,0.0022714,-3.74683924,DDX52
228368_at,0.00228868,-1.76250122,ARHGAP20
202970_at,0.00233923,-1.91748184,DYRK2
1558897_at,0.00234824,2.7313489,PLK5
1559240_at,0.00235613,-2.20572342,LOC100507053
233068_at,0.00235668,-2.15183998,CRIPT
1557151_at,0.00236589,2.50609578,
240064_at,0.00238577,-2.35168464,
1557638_at,0.00239306,-2.14171007,LOC101929748
244749_at,0.00243655,-2.53326366,LOC101927204
241958_at,0.00244721,2.42311953,
221151_at,0.00244743,2.75013512,PRDM9
216200_at,0.00244928,3.33998529,PLEKHM1
239668_at,0.00244999,-2.52681516,
220480_at,0.00245644,2.53004665,HAND2
205968_at,0.0024584,-3.11757168,KCNS3
1562898_at,0.00248224,2.5204409,
209651_at,0.00250691,2.38711524,TGFB1I1
243214_at,0.00251015,1.97003695,ZBTB46
242834_at,0.00251117,2.56634587,UBA6
217502_at,0.00251699,2.28971228,IFIT2
229121_at,0.00253296,-2.06488074,CMKLR1
1561310_at,0.00253404,-2.5984835,
1560968_at,0.00253503,2.31061902,
1557430_at,0.00255825,-1.46246111,SMIM17
1564215_at,0.00257116,-2.8337545,
205980_s_at,0.00258453,-2.98610274,PRR5-ARHGAP8///ARHGAP8
237546_at,0.00260619,-2.20032913,
1553811_at,0.00261073,2.62547713,FAM222A-AS1
40687_at,0.0026558,2.27884894,GJA4
224044_at,0.00266568,-3.76826078,RHOT1
209845_at,0.00271452,-1.7192911,MKRN1
1569496_s_at,0.00272116,-2.02182057,LOC100130872
216770_at,0.00273513,-2.11181773,
240209_at,0.00276474,2.68144374,C16orf78
243943_x_at,0.00276488,-2.44024836,C6orf52
236640_at,0.00277517,-1.78541619,LOC100507165
1558279_a_at,0.00278492,-2.40889594,KDSR
240691_at,0.00280985,-2.96959312,
203664_s_at,0.00284541,-2.83404731,POLR2D
211660_at,0.00284545,1.79981939,POU2F2
212841_s_at,0.00287511,2.6618283,PPFIBP2
241687_at,0.00289624,-2.72143261,WDR12
217132_at,0.00291168,-1.91643261,
231633_at,0.00293797,-2.74176011,
230251_at,0.00299386,-2.58468875,LINC00473
236873_at,0.00301714,2.40312701,
201624_at,0.00304446,-1.39106533,DARS
237981_at,0.00306704,3.069553,CMYA5
212663_at,0.0030839,2.2967559,FKBP15
241087_at,0.0031158,1.94717251,
242375_x_at,0.00315458,-2.31927217,LOC101929036///PAH
215923_s_at,0.0031665,-2.73057093,PSD4
207343_at,0.00317224,2.33357593,LYZL6
1561180_at,0.0031741,1.7981239,
222453_at,0.00318676,2.34212017,CYBRD1
243521_at,0.00319238,-1.48628148,ZXDA
211163_s_at,0.00319773,-2.08806822,TNFRSF10C
227640_s_at,0.00322851,2.8036803,RP9P///RP9
234215_at,0.0033016,2.17529086,
241806_at,0.00332542,-2.4276116,
218207_s_at,0.0033336,-2.29836322,STMN3
208076_at,0.0033358,-2.3602082,HIST1H4D
216987_at,0.00335197,-3.11811885,IRF4
227296_at,0.0033625,1.94002878,MFSD3
235957_at,0.00336921,-2.1807875,GRIP1
219832_s_at,0.00339203,-2.53143644,HOXC13
240569_at,0.00339224,1.6253469,
234564_at,0.00340139,-2.08258912,
243372_at,0.00340625,2.49600471,HSPD1
215708_s_at,0.00340808,-2.32682098,PRIM2B///PRIM2
242220_at,0.00343243,-2.70213925,SPTBN1
235528_at,0.00352658,2.04088935,GUCA1B
219264_s_at,0.00359543,2.25594427,PPP2R3B
1562645_at,0.00361051,-2.52688897,LOC401176
236111_at,0.00361954,2.19532396,
238481_at,0.00364237,3.31567848,MGP
243805_at,0.00365253,-2.79605273,CCBE1
244814_at,0.0036534,2.18235091,UGGT1
223196_s_at,0.00365467,2.53673478,SESN2
237579_at,0.00371725,-2.22612027,
244111_at,0.00371726,-1.70090833,KRT222
219555_s_at,0.00372568,2.19552191,CENPN
209183_s_at,0.00372927,2.47043965,C10orf10
241004_at,0.00374606,2.16749266,
1561187_at,0.00375462,-2.32909846,
208033_s_at,0.00384218,2.52563612,ZFHX3
205490_x_at,0.00390311,-1.97211695,GJB3
244836_at,0.00391112,1.90472419,
1564168_a_at,0.0039133,-3.14256301,LOC93444
239870_at,0.0039224,-2.41797724,SPATS1
240272_at,0.00393189,-1.82882547,
1569387_at,0.0039617,3.71321917,CSGALNACT1
1569004_at,0.00398015,-2.5569907,CARD8-AS1
200913_at,0.004,1.89819467,PPM1G
230074_s_at,0.00400414,-2.2993774,C16orf58
211507_s_at,0.0040581,1.72634234,MTMR3
1553630_at,0.00405852,-2.34153952,C10orf107
218785_s_at,0.00406609,-2.42426364,IFT22
206642_at,0.00407353,2.29729689,DSG1
1565111_x_at,0.00411087,-2.5103176,OFCC1
1564360_a_at,0.00415052,-2.11057185,CCDC144NL-AS1
211479_s_at,0.00415119,-1.55833472,HTR2C
212347_x_at,0.00415864,2.3414191,MIR4800///MXD4
205630_at,0.00418254,-3.55859315,CRH
1553427_at,0.00419581,2.18989357,ADAMTS15
211213_at,0.00421902,-3.32687456,ORC5
242839_at,0.00421966,2.62086321,
1555198_x_at,0.00422123,2.65982971,C21orf58
232285_at,0.00422743,2.47954346,
231891_at,0.00423829,2.57003517,STAMBPL1
241542_at,0.00424135,-2.3721358,
209148_at,0.0042632,1.71239354,RXRB
1553094_at,0.00427108,-1.42325279,FLJ45513///TAC4
1560175_at,0.00427464,-2.49310534,PPP4R1L
236561_at,0.00428931,-2.32126985,TGFBR1
